Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,Recycling_fee_EUR,Customs_duty_EUR,km_category
Toyota,Prius,2011,Hatchback,195000.0,1800.0,Hybrid,1,7750.0,12,17727.272727272728,69.46299759551162,6300.0,1
Renault,Grand Scenic,2014,Universal,135000.0,1500.0,Diesel,0,8550.0,9,16875.0,69.46299759551162,4800.0,1
Renault,Laguna,2012,Universal,110000.0,1500.0,Diesel,0,6550.0,11,11000.0,69.46299759551162,4800.0,1
Opel,Astra,2006,Universal,200000.0,1600.0,Metan/Propan,0,4100.0,17,12500.0,69.46299759551162,5600.0,1
Mercedes,Vito,2000,Microvan,300000.0,2200.0,Diesel,0,3490.0,23,13636.363636363636,69.46299759551162,10560.0,1
Volkswagen,Passat,2010,Universal,290000.0,1390.0,Petrol,0,5600.0,13,24166.666666666668,69.46299759551162,4448.0,2
Volkswagen,Touareg,2010,SUV,220000.0,2400.0,Diesel,1,17000.0,13,18333.33333333333,69.46299759551162,12000.0,1
Mercedes,Series (W124),1991,Sedan,240000.0,2300.0,Petrol,0,2850.0,32,7741.935483870968,69.46299759551162,11040.0,0
BMW,5 Series,2004,Sedan,325000.0,300.0,Diesel,0,3400.0,19,18055.555555555555,69.46299759551162,900.0,1
Mercedes,E Class,2010,Sedan,210000.0,2200.0,Diesel,1,11400.0,13,17500.0,69.46299759551162,10560.0,1
Mercedes,Rare,2006,Coupe,300000.0,3200.0,Diesel,1,11800.0,17,18750.0,69.46299759551162,18240.0,1
BMW,7 Series,1998,Sedan,285000.0,3500.0,Petrol,0,3990.0,25,11875.0,69.46299759551162,19950.0,1
Volkswagen,Golf,2007,Universal,238371.0,1400.0,Petrol,1,5000.0,16,15891.4,69.46299759551162,4480.0,1
Volkswagen,Rare,2010,Hatchback,150000.0,1200.0,Petrol,0,5500.0,13,12500.0,69.46299759551162,3840.0,1
Volvo,XC60,2012,Crossover,180000.0,2400.0,Diesel,1,15900.0,11,18000.0,69.46299759551162,12000.0,1
Nissan,Qashqai,2011,Crossover,251000.0,1500.0,Diesel,0,8300.0,12,22818.18181818182,69.46299759551162,4800.0,2
Hyundai,Matrix,2005,Universal,383000.0,1500.0,Diesel,0,3200.0,18,22529.41176470588,69.46299759551162,4800.0,2
Audi,Rare,2009,Hatchback,248000.0,2000.0,Diesel,1,9299.0,14,19076.92307692308,69.46299759551162,9600.0,1
Mercedes,E Class,2004,Universal,315000.0,1800.0,Metan/Propan,0,6900.0,19,17500.0,69.46299759551162,6300.0,1
GAZ,Rare,1992,Sedan,68000.0,2445.0,Petrol,0,2222.0,31,2266.6666666666665,69.46299759551162,12225.0,0
Renault,Megane,2011,Universal,171000.0,1500.0,Diesel,0,5700.0,12,15545.454545454546,69.46299759551162,4800.0,1
Rare expensive,Rare,2013,Hatchback,113000.0,367.0,Electric,1,27000.0,10,12555.555555555557,69.46299759551162,1101.0,1
Mercedes,E Class,2014,Sedan,275500.0,2200.0,Diesel,1,18350.0,9,34437.5,69.46299759551162,10560.0,2
Lincoln,Rare,2017,Sedan,157000.0,1998.0,Hybrid,1,17800.0,6,31400.0,69.46299759551162,9590.4,2
Lexus,NX Series,2017,Crossover,76000.0,1998.0,Petrol,1,27999.0,6,15200.0,69.46299759551162,9590.4,1
Dodge,Rare,2008,Hatchback,113486.0,1998.0,Metan/Propan,1,4495.0,15,8106.142857142857,69.46299759551162,9590.4,0
Audi,100,1993,Sedan,235000.0,2000.0,Petrol,0,2950.0,30,8103.448275862069,69.46299759551162,9600.0,0
Porsche,Cayenne,2012,Crossover,253444.0,3000.0,Diesel,1,30222.0,11,25344.4,69.46299759551162,15000.0,2
Lexus,RX Series,2009,SUV,250000.0,3500.0,Hybrid,1,17990.0,14,19230.76923076923,69.46299759551162,19950.0,1
Volkswagen,Passat,2012,Sedan,179000.0,1400.0,Metan/Propan,1,9800.0,11,17900.0,69.46299759551162,4480.0,1
BMW,Rare,2015,Crossover,169777.0,2000.0,Diesel,1,16888.0,8,24253.85714285714,69.46299759551162,9600.0,2
Mercedes,Rare,2017,Crossover,71333.0,2500.0,Diesel,1,43404.0,6,14266.6,69.46299759551162,12500.0,1
Opel,Vectra,1994,Sedan,340000.0,1800.0,Petrol,0,1500.0,29,12142.857142857143,69.46299759551162,6300.0,1
BMW,7 Series,2007,Sedan,300000.0,3000.0,Diesel,1,11500.0,16,20000.0,69.46299759551162,15000.0,1
Volkswagen,Touran,2004,Minivan,280000.0,200.0,Diesel,1,5300.0,19,15555.555555555557,69.46299759551162,600.0,1
Volkswagen,Passat,2010,Universal,228000.0,1400.0,Metan/Propan,1,5700.0,13,19000.0,69.46299759551162,4480.0,1
Toyota,Auris,2010,Sedan,185000.0,1400.0,Diesel,0,6500.0,13,15416.666666666666,69.46299759551162,4480.0,1
Nissan,Qashqai,2009,Hatchback,200415.0,1500.0,Diesel,0,6200.0,14,15416.53846153846,69.46299759551162,4800.0,1
BMW,3 Series,2016,Minivan,136000.0,2000.0,Diesel,1,13200.0,7,22666.666666666668,69.46299759551162,9600.0,2
BMW,5 Series,2003,Sedan,250000.0,3000.0,Petrol,1,7490.0,20,13157.894736842103,69.46299759551162,15000.0,1
Dacia,Logan,2014,Sedan,195000.0,1200.0,Metan/Propan,0,3999.0,9,24375.0,69.46299759551162,3840.0,2
Dacia,Duster,2015,SUV,170000.0,1500.0,Diesel,0,8800.0,8,24285.714285714286,69.46299759551162,4800.0,2
Volkswagen,Golf,2010,Universal,191500.0,1400.0,Petrol,0,5700.0,13,15958.333333333334,69.46299759551162,4480.0,1
Volkswagen,Passat,1991,Sedan,292000.0,1800.0,Petrol,0,1150.0,32,9419.354838709678,69.46299759551162,6300.0,0
BMW,3 Series,2004,Sedan,250000.0,2000.0,Diesel,0,4499.0,19,13888.888888888889,69.46299759551162,9600.0,1
Nissan,Qashqai,2015,Crossover,158000.0,1500.0,Diesel,0,11750.0,8,22571.42857142857,69.46299759551162,4800.0,2
Peugeot,Rare,2018,Crossover,132000.0,1500.0,Diesel,1,16500.0,5,33000.0,69.46299759551162,4800.0,2
BMW,X5,2005,SUV,260500.0,3000.0,Petrol,1,8999.0,18,15323.529411764706,69.46299759551162,15000.0,1
Renault,Megane,2005,Universal,11111.0,1500.0,Diesel,0,3200.0,18,653.5882352941177,69.46299759551162,4800.0,0
Nissan,Qashqai,2013,SUV,180000.0,1500.0,Diesel,0,8999.0,10,20000.0,69.46299759551162,4800.0,1
Ford,Transit Connect,2012,Minivan,151658.0,1800.0,Diesel,0,3899.0,11,15165.8,69.46299759551162,6300.0,1
Renault,Scenic,2015,Microvan,185480.0,1461.0,Diesel,0,7550.0,8,26497.14285714286,69.46299759551162,4675.2,2
BMW,7 Series,2009,Sedan,215210.0,3000.0,Diesel,1,16500.0,14,16554.615384615383,69.46299759551162,15000.0,1
Volkswagen,Polo,2007,Hatchback,305988.0,1400.0,Diesel,0,3250.0,16,20399.2,69.46299759551162,4480.0,2
BMW,5 Series,2014,Sedan,231250.0,2000.0,Diesel,1,18000.0,9,28906.25,69.46299759551162,9600.0,2
Vaz,2121niva,2004,Minivan,12000.0,1700.0,Petrol,0,1800.0,19,666.6666666666666,69.46299759551162,5950.0,0
BMW,5 Series,1998,Sedan,11111.0,2500.0,Petrol,0,3200.0,25,462.9583333333333,69.46299759551162,12500.0,0
Nissan,Rare,2014,Hatchback,87100.0,1200.0,Petrol,0,7950.0,9,10887.5,69.46299759551162,3840.0,1
Toyota,Avensis,2000,Sedan,420000.0,1600.0,Metan/Propan,0,2999.0,23,19090.90909090909,69.46299759551162,5600.0,1
Honda,CR-V,2002,Universal,275100.0,2000.0,Petrol,0,5900.0,21,13755.0,69.46299759551162,9600.0,1
BMW,5 Series,2015,Sedan,180236.0,2000.0,Diesel,1,21500.0,8,25748.0,69.46299759551162,9600.0,2
Honda,CR-V,2010,Crossover,183000.0,2200.0,Diesel,0,12999.0,13,15250.0,69.46299759551162,10560.0,1
Nissan,Rare,2011,Hatchback,195000.0,1500.0,Diesel,0,5250.0,12,17727.272727272728,69.46299759551162,4800.0,1
Volkswagen,Passat,1993,Universal,311254.0,2000.0,Metan/Propan,0,29000.0,30,10732.896551724138,69.46299759551162,9600.0,1
Opel,Astra,2010,Hatchback,190000.0,1300.0,Diesel,0,6500.0,13,15833.333333333334,69.46299759551162,4160.0,1
Skoda,Rapid,2016,Universal,116000.0,1598.0,Petrol,1,10300.0,7,19333.33333333333,69.46299759551162,5593.0,1
Volkswagen,Sharan,2006,Minivan,250000.0,2000.0,Diesel,0,6900.0,17,15625.0,69.46299759551162,9600.0,1
Nissan,Qashqai,2015,Crossover,149000.0,1200.0,Petrol,1,12500.0,8,21285.714285714286,69.46299759551162,3840.0,2
Skoda,Superb,2016,Sedan,170000.0,2000.0,Diesel,1,17490.0,7,28333.33333333333,69.46299759551162,9600.0,2
Toyota,Land Cruiser,2001,SUV,250000.0,4700.0,Metan/Propan,1,9990.0,22,11904.761904761905,69.46299759551162,26790.0,1
Toyota,Corolla,2006,Universal,256000.0,1400.0,Diesel,0,5490.0,17,16000.0,69.46299759551162,4480.0,1
Mazda,Rare,2002,SUV,255000.0,2000.0,Petrol,0,3990.0,21,12750.0,69.46299759551162,9600.0,1
Chevrolet,Rare,2011,Hatchback,190000.0,1400.0,Plug-in Hybrid,1,9150.0,12,17272.727272727272,69.46299759551162,4480.0,1
Mercedes,Rare,2019,Crossover,24000.0,3000.0,Petrol,1,51000.0,4,8000.0,69.46299759551162,9000.0,0
Volkswagen,Passat,2002,Universal,270000.0,1800.0,Petrol,0,2550.0,21,13500.0,69.46299759551162,6300.0,1
Volkswagen,Touareg,2010,SUV,235000.0,3000.0,Diesel,1,20950.0,13,19583.33333333333,69.46299759551162,15000.0,1
BMW,5 Series,2000,Sedan,254604.0,2500.0,Petrol,0,4500.0,23,11572.90909090909,69.46299759551162,12500.0,1
Renault,Megane,2009,Universal,165000.0,1500.0,Diesel,0,4999.0,14,12692.307692307691,69.46299759551162,4800.0,1
