Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,Recycling_fee_EUR,Customs_duty_EUR,km_category
41,92,2011,4,195000.0,1800.0,2,1,7750.0,12,17727.272727272728,69.46299759551162,6300.0,1
33,62,2014,11,135000.0,1500.0,0,0,8550.0,9,16875.0,69.46299759551162,4800.0,1
33,71,2012,11,110000.0,1500.0,0,0,6550.0,11,11000.0,69.46299759551162,4800.0,1
28,23,2006,11,200000.0,1600.0,3,0,4100.0,17,12500.0,69.46299759551162,5600.0,1
23,126,2000,5,300000.0,2200.0,0,0,3490.0,23,13636.363636363636,69.46299759551162,10560.0,1
43,88,2010,11,290000.0,1390.0,4,0,5600.0,13,24166.666666666668,69.46299759551162,4448.0,2
43,117,2010,9,220000.0,2400.0,0,1,17000.0,13,18333.33333333333,69.46299759551162,12000.0,1
23,109,1991,10,240000.0,2300.0,4,0,2850.0,32,7741.935483870968,69.46299759551162,11040.0,0
2,9,2004,10,325000.0,300.0,0,0,3400.0,19,18055.555555555555,69.46299759551162,900.0,1
23,48,2010,10,210000.0,2200.0,0,1,11400.0,13,17500.0,69.46299759551162,10560.0,1
23,101,2006,2,300000.0,3200.0,0,1,11800.0,17,18750.0,69.46299759551162,18240.0,1
2,12,1998,10,285000.0,3500.0,4,0,3990.0,25,11875.0,69.46299759551162,19950.0,1
43,61,2007,11,238371.0,1400.0,4,1,5000.0,16,15891.4,69.46299759551162,4480.0,1
43,101,2010,4,150000.0,1200.0,4,0,5500.0,13,12500.0,69.46299759551162,3840.0,1
44,131,2012,3,180000.0,2400.0,0,1,15900.0,11,18000.0,69.46299759551162,12000.0,1
27,95,2011,3,251000.0,1500.0,0,0,8300.0,12,22818.18181818182,69.46299759551162,4800.0,2
14,79,2005,11,383000.0,1500.0,0,0,3200.0,18,22529.41176470588,69.46299759551162,4800.0,2
1,101,2009,4,248000.0,2000.0,0,1,9299.0,14,19076.92307692308,69.46299759551162,9600.0,1
23,48,2004,11,315000.0,1800.0,3,0,6900.0,19,17500.0,69.46299759551162,6300.0,1
12,101,1992,10,68000.0,2445.0,4,0,2222.0,31,2266.6666666666665,69.46299759551162,12225.0,0
33,80,2011,11,171000.0,1500.0,0,0,5700.0,12,15545.454545454546,69.46299759551162,4800.0,1
32,101,2013,4,113000.0,367.0,1,1,27000.0,10,12555.555555555557,69.46299759551162,1101.0,1
23,48,2014,10,275500.0,2200.0,0,1,18350.0,9,34437.5,69.46299759551162,10560.0,2
21,101,2017,10,157000.0,1998.0,2,1,17800.0,6,31400.0,69.46299759551162,9590.4,2
20,84,2017,3,76000.0,1998.0,4,1,27999.0,6,15200.0,69.46299759551162,9590.4,1
9,101,2008,4,113486.0,1998.0,3,1,4495.0,15,8106.142857142857,69.46299759551162,9590.4,0
1,0,1993,10,235000.0,2000.0,4,0,2950.0,30,8103.448275862069,69.46299759551162,9600.0,0
30,39,2012,3,253444.0,3000.0,0,1,30222.0,11,25344.4,69.46299759551162,15000.0,2
20,97,2009,9,250000.0,3500.0,2,1,17990.0,14,19230.76923076923,69.46299759551162,19950.0,1
43,88,2012,10,179000.0,1400.0,3,1,9800.0,11,17900.0,69.46299759551162,4480.0,1
2,101,2015,3,169777.0,2000.0,0,1,16888.0,8,24253.85714285714,69.46299759551162,9600.0,2
23,101,2017,3,71333.0,2500.0,0,1,43404.0,6,14266.6,69.46299759551162,12500.0,1
28,123,1994,10,340000.0,1800.0,4,0,1500.0,29,12142.857142857143,69.46299759551162,6300.0,1
2,12,2007,10,300000.0,3000.0,0,1,11500.0,16,20000.0,69.46299759551162,15000.0,1
43,118,2004,6,280000.0,200.0,0,1,5300.0,19,15555.555555555557,69.46299759551162,600.0,1
43,88,2010,11,228000.0,1400.0,3,1,5700.0,13,19000.0,69.46299759551162,4480.0,1
41,24,2010,10,185000.0,1400.0,0,0,6500.0,13,15416.666666666666,69.46299759551162,4480.0,1
27,95,2009,4,200415.0,1500.0,0,0,6200.0,14,15416.53846153846,69.46299759551162,4800.0,1
2,6,2016,6,136000.0,2000.0,0,1,13200.0,7,22666.666666666668,69.46299759551162,9600.0,2
2,9,2003,10,250000.0,3000.0,4,1,7490.0,20,13157.894736842103,69.46299759551162,15000.0,1
6,76,2014,10,195000.0,1200.0,3,0,3999.0,9,24375.0,69.46299759551162,3840.0,2
6,47,2015,9,170000.0,1500.0,0,0,8800.0,8,24285.714285714286,69.46299759551162,4800.0,2
43,61,2010,11,191500.0,1400.0,4,0,5700.0,13,15958.333333333334,69.46299759551162,4480.0,1
43,88,1991,10,292000.0,1800.0,4,0,1150.0,32,9419.354838709678,69.46299759551162,6300.0,0
2,6,2004,10,250000.0,2000.0,0,0,4499.0,19,13888.888888888889,69.46299759551162,9600.0,1
27,95,2015,3,158000.0,1500.0,0,0,11750.0,8,22571.42857142857,69.46299759551162,4800.0,2
29,101,2018,3,132000.0,1500.0,0,1,16500.0,5,33000.0,69.46299759551162,4800.0,2
2,129,2005,9,260500.0,3000.0,4,1,8999.0,18,15323.529411764706,69.46299759551162,15000.0,1
33,80,2005,11,11111.0,1500.0,0,0,3200.0,18,653.5882352941177,69.46299759551162,4800.0,0
27,95,2013,9,180000.0,1500.0,0,0,8999.0,10,20000.0,69.46299759551162,4800.0,1
11,119,2012,6,151658.0,1800.0,0,0,3899.0,11,15165.8,69.46299759551162,6300.0,1
33,108,2015,5,185480.0,1461.0,0,0,7550.0,8,26497.14285714286,69.46299759551162,4675.2,2
2,12,2009,10,215210.0,3000.0,0,1,16500.0,14,16554.615384615383,69.46299759551162,15000.0,1
43,90,2007,4,305988.0,1400.0,0,0,3250.0,16,20399.2,69.46299759551162,4480.0,2
2,9,2014,10,231250.0,2000.0,0,1,18000.0,9,28906.25,69.46299759551162,9600.0,2
42,4,2004,6,12000.0,1700.0,4,0,1800.0,19,666.6666666666666,69.46299759551162,5950.0,0
2,9,1998,10,11111.0,2500.0,4,0,3200.0,25,462.9583333333333,69.46299759551162,12500.0,0
27,101,2014,4,87100.0,1200.0,4,0,7950.0,9,10887.5,69.46299759551162,3840.0,1
41,26,2000,10,420000.0,1600.0,3,0,2999.0,23,19090.90909090909,69.46299759551162,5600.0,1
13,35,2002,11,275100.0,2000.0,4,0,5900.0,21,13755.0,69.46299759551162,9600.0,1
2,9,2015,10,180236.0,2000.0,0,1,21500.0,8,25748.0,69.46299759551162,9600.0,2
13,35,2010,3,183000.0,2200.0,0,0,12999.0,13,15250.0,69.46299759551162,10560.0,1
27,101,2011,4,195000.0,1500.0,0,0,5250.0,12,17727.272727272728,69.46299759551162,4800.0,1
43,88,1993,11,311254.0,2000.0,3,0,29000.0,30,10732.896551724138,69.46299759551162,9600.0,1
28,23,2010,4,190000.0,1300.0,0,0,6500.0,13,15833.333333333334,69.46299759551162,4160.0,1
36,100,2016,11,116000.0,1598.0,4,1,10300.0,7,19333.33333333333,69.46299759551162,5593.0,1
43,110,2006,6,250000.0,2000.0,0,0,6900.0,17,15625.0,69.46299759551162,9600.0,1
27,95,2015,3,149000.0,1200.0,4,1,12500.0,8,21285.714285714286,69.46299759551162,3840.0,2
36,114,2016,10,170000.0,2000.0,0,1,17490.0,7,28333.33333333333,69.46299759551162,9600.0,2
41,73,2001,9,250000.0,4700.0,3,1,9990.0,22,11904.761904761905,69.46299759551162,26790.0,1
41,44,2006,11,256000.0,1400.0,0,0,5490.0,17,16000.0,69.46299759551162,4480.0,1
22,101,2002,9,255000.0,2000.0,4,0,3990.0,21,12750.0,69.46299759551162,9600.0,1
3,101,2011,4,190000.0,1400.0,5,1,9150.0,12,17272.727272727272,69.46299759551162,4480.0,1
23,101,2019,3,24000.0,3000.0,4,1,51000.0,4,8000.0,69.46299759551162,9000.0,0
43,88,2002,11,270000.0,1800.0,4,0,2550.0,21,13500.0,69.46299759551162,6300.0,1
43,117,2010,9,235000.0,3000.0,0,1,20950.0,13,19583.33333333333,69.46299759551162,15000.0,1
2,9,2000,10,254604.0,2500.0,4,0,4500.0,23,11572.90909090909,69.46299759551162,12500.0,1
33,80,2009,11,165000.0,1500.0,0,0,4999.0,14,12692.307692307691,69.46299759551162,4800.0,1
41,32,2017,3,115000.0,1800.0,2,1,17999.0,6,23000.0,69.46299759551162,6300.0,2
2,12,1998,10,350000.0,3500.0,4,0,3990.0,25,14583.333333333334,69.46299759551162,19950.0,1
23,48,2012,10,150000.0,2500.0,0,1,14490.0,11,15000.0,69.46299759551162,12500.0,1
1,101,2018,4,31091.0,3000.0,4,1,35500.0,5,7772.75,69.46299759551162,15000.0,0
33,42,2006,4,280000.0,1461.0,0,0,4299.0,17,17500.0,69.46299759551162,4675.2,1
5,34,2012,4,145000.0,1400.0,0,1,6899.0,11,14500.0,69.46299759551162,4480.0,1
1,17,1997,10,29800.0,2400.0,3,0,2750.0,26,1192.0,69.46299759551162,12000.0,0
11,54,2013,10,178000.0,2000.0,2,1,9290.0,10,19777.777777777777,69.46299759551162,9600.0,1
41,92,2014,10,140000.0,800.0,5,1,11200.0,9,17500.0,69.46299759551162,2400.0,1
43,124,1993,10,300000.0,1800.0,4,0,1700.0,30,10344.827586206897,69.46299759551162,6300.0,1
33,101,2017,3,129000.0,1500.0,0,1,10990.0,6,25800.0,69.46299759551162,4800.0,2
20,36,2012,4,193000.0,1800.0,2,1,10950.0,11,19300.0,69.46299759551162,6300.0,1
44,131,2010,9,202000.0,2400.0,0,1,14750.0,13,16833.333333333332,69.46299759551162,12000.0,1
6,101,2013,6,209000.0,1500.0,0,0,5750.0,10,23222.222222222223,69.46299759551162,4800.0,2
14,101,2010,4,145000.0,1400.0,4,0,4750.0,13,12083.333333333334,69.46299759551162,4480.0,1
